LOCC	LACC	LIFG	LIPL	ROCC	RACC	RIFG	RIPL	I
8700.2037	10803.9845	10121.0541	10842.4126	8792.5575	11087.3132	11208.2755	11453.8481	-0.0494
8652.5356	10819.8693	10130.5705	10868.2079	8739.7255	11104.7852	11198.7631	11434.6615	-0.3455
8677.7039	10890.7393	10172.5507	10914.3625	8752.6206	11092.8249	11211.6350	11518.3440	-0.5054
8665.2644	10917.9950	10205.7046	10963.3678	8717.5349	11153.5843	11231.9829	11547.5763	-0.5611
8651.3106	10909.3432	10227.0324	11003.2559	8736.6570	11174.9476	11290.8952	11567.0941	-0.5622
8712.7170	10968.7982	10205.7562	11036.0566	8780.9941	11284.6587	11260.5734	11620.1700	-0.5411
8705.9901	10881.5629	10136.0550	10931.0659	8803.2957	11290.2172	11238.1203	11626.7382	-0.5169
8666.9187	10815.7010	10110.2567	10807.0590	8785.5990	11208.0494	11332.5875	11527.1171	-0.4989
8646.6341	10814.5430	10084.1112	10709.1042	8780.1155	11166.7981	11289.4733	11417.6276	-0.4888
8693.8721	10867.7213	10058.3268	10800.9952	8803.8229	11199.5522	11248.4906	11515.8540	-0.3846
8706.7075	10849.8868	10093.9257	10839.6252	8831.7579	11246.5359	11254.8339	11494.1781	-0.0757
8740.4657	10898.2433	10125.7117	10853.8318	8835.9403	11205.8434	11228.8445	11537.6278	0.2100
8757.1297	10929.0557	10166.0058	10917.0786	8849.8632	11270.7182	11296.4461	11510.0343	0.3585
8799.0748	10993.5088	10260.7466	10972.9675	8900.1783	11267.1930	11321.7028	11617.4091	0.4003
8813.9107	11039.3762	10270.8135	10984.9373	8900.5768	11273.0392	11352.8339	11564.7886	0.3852
8830.2589	11066.2727	10282.8607	10999.2019	8938.8945	11311.4795	11290.6211	11600.3809	0.3475
8837.3273	11060.8566	10262.1637	11026.0408	8924.1579	11275.7694	11343.4343	11588.4922	0.3070
8814.2189	11003.0955	10202.8387	11006.8868	8913.2685	11268.2696	11268.6777	11581.6381	0.2716
